date,child,category,task,times,completed,points,note,mood,recorder,created_at
2024-05-09,哥哥,學習相關,練習才藝,1,是,4,,,,
2024-05-09,哥哥,生活自理,準備明日用品,1,是,3,,,,
2024-05-09,哥哥,生活自理,準時起床,1,是,2,,,,
2024-05-10,弟弟,個人清潔,刷牙洗臉,1,是,2,,,,
2024-05-10,弟弟,生活自理,準備明日用品,1,是,3,,,,
2024-05-10,弟弟,學習相關,練習才藝,1,是,4,,,,
2024-05-10,弟弟,居家整理,整理書桌,1,是,3,,,,
2024-05-10,弟弟,餐飲協助,擦餐桌,1,是,3,,,,
2024-05-10,哥哥,居家整理,整理書桌,1,是,3,和兄弟合作完成,,,
2024-05-10,哥哥,個人清潔,刷牙洗臉,1,是,2,,,,
2024-05-10,哥哥,居家整理,倒垃圾,1,是,3,今天表現穩定,,,
2024-05-10,哥哥,餐飲協助,協助分類回收,1,是,3,今天表現穩定,,,
2024-05-10,哥哥,餐飲協助,協助分類回收,1,是,3,主動完成，值得鼓勵,,,
2024-05-10,弟弟,學習相關,閱讀,2,是,4,,,,
2024-05-11,哥哥,居家整理,整理書桌,1,否,3,,,,
2024-05-11,哥哥,個人清潔,刷牙洗臉,2,是,2,,,,
2024-05-11,哥哥,個人清潔,換衣服,1,是,1,,,,
2024-05-11,哥哥,個人清潔,洗澡,1,是,2,,,,
2024-05-11,哥哥,餐飲協助,協助分類回收,2,否,3,,,,
2024-05-11,哥哥,生活自理,鞋子排好,1,否,1,,,,
2024-05-11,哥哥,學習相關,閱讀,2,否,4,,,,
2024-05-11,弟弟,生活自理,準備明日用品,1,是,3,今天表現穩定,,,
2024-05-11,弟弟,學習相關,閱讀,1,是,4,,,,
2024-05-12,弟弟,生活自理,準備明日用品,1,否,3,,,,
2024-05-12,哥哥,生活自理,鞋子排好,1,是,1,,,,
2024-05-12,弟弟,個人清潔,刷牙洗臉,1,是,2,,,,
2024-05-12,哥哥,居家整理,收拾玩具,1,是,3,今天表現穩定,,,
2024-05-12,哥哥,個人清潔,換衣服,1,否,1,,,,
2024-05-12,哥哥,居家整理,整理書桌,1,是,3,,,,
2024-05-12,哥哥,個人清潔,整理個人物品,2,否,2,,,,
2024-05-12,哥哥,居家整理,掃地,1,是,4,今天表現穩定,,,
2024-05-12,哥哥,餐飲協助,餐後收拾,1,是,3,,,,
2024-05-13,弟弟,生活自理,鞋子排好,2,否,1,,,,
2024-05-13,弟弟,餐飲協助,餐前擺碗筷,1,是,2,,,,
2024-05-13,弟弟,生活自理,準時起床,1,是,2,,,,
2024-05-13,弟弟,個人清潔,刷牙洗臉,1,是,2,,,,
2024-05-13,弟弟,個人清潔,整理個人物品,2,是,2,,,,
2024-05-13,哥哥,學習相關,整理書包,2,是,3,,,,
2024-05-13,哥哥,個人清潔,刷牙洗臉,1,是,2,主動完成，值得鼓勵,,,
2024-05-13,哥哥,學習相關,練習才藝,2,是,4,和兄弟合作完成,,,
2024-05-13,哥哥,餐飲協助,餐前擺碗筷,1,否,2,,,,
2024-05-13,哥哥,其他,主動幫忙,1,是,3,,,,
2024-05-14,弟弟,居家整理,收拾玩具,1,是,3,,,,
2024-05-14,弟弟,居家整理,整理書桌,1,是,3,,,,
2024-05-14,弟弟,個人清潔,整理個人物品,1,是,2,今天表現穩定,,,
2024-05-14,哥哥,學習相關,閱讀,2,是,4,,,,
2024-05-14,哥哥,餐飲協助,協助分類回收,1,是,3,主動完成，值得鼓勵,,,
2024-05-14,哥哥,個人清潔,換衣服,1,是,1,,,,
2024-05-14,哥哥,居家整理,整理房間,2,是,4,和兄弟合作完成,,,
2024-05-15,哥哥,學習相關,完成作業,1,是,5,主動完成，值得鼓勵,,,
2024-05-15,哥哥,學習相關,完成作業,1,否,5,需要再提醒一次,,,
2024-05-15,哥哥,個人清潔,洗澡,1,否,2,,,,
2024-05-15,哥哥,餐飲協助,餐前擺碗筷,1,是,2,,,,
2024-05-15,弟弟,個人清潔,換衣服,1,是,1,和兄弟合作完成,,,
2024-05-15,弟弟,居家整理,掃地,1,是,4,和兄弟合作完成,,,
2024-05-15,弟弟,居家整理,倒垃圾,1,是,3,,,,
2024-05-16,弟弟,學習相關,閱讀,2,是,4,,,,
2024-05-16,弟弟,生活自理,準備明日用品,1,是,3,,,,
2024-05-16,弟弟,生活自理,鞋子排好,2,是,1,需要再提醒一次,,,
2024-05-16,哥哥,個人清潔,整理個人物品,1,是,2,,,,
2024-05-16,哥哥,個人清潔,刷牙洗臉,1,是,2,,,,
2024-05-16,哥哥,居家整理,整理書桌,1,是,3,,,,
2024-05-16,哥哥,生活自理,鞋子排好,1,是,1,,,,
2024-05-16,哥哥,居家整理,整理書桌,2,是,3,,,,
2024-05-17,弟弟,生活自理,準備明日用品,1,是,3,,,,
2024-05-17,弟弟,個人清潔,洗澡,1,是,2,,,,
2024-05-17,弟弟,學習相關,練習才藝,2,否,4,和兄弟合作完成,,,
2024-05-17,弟弟,個人清潔,換衣服,1,是,1,,,,
2024-05-17,哥哥,居家整理,擦桌子,2,是,3,,,,
2024-05-17,哥哥,生活自理,準備明日用品,1,是,3,,,,
2024-05-17,哥哥,居家整理,掃地,1,是,4,,,,
2024-05-17,弟弟,餐飲協助,協助分類回收,1,是,3,,,,
2024-05-18,弟弟,生活自理,衣物放洗衣籃,1,否,2,,,,
2024-05-18,弟弟,學習相關,練習才藝,1,是,4,,,,
2024-05-18,弟弟,餐飲協助,餐前擺碗筷,1,是,2,,,,
2024-05-18,弟弟,學習相關,練習才藝,1,是,4,,,,
2024-05-18,弟弟,學習相關,整理書包,1,是,3,,,,
2024-05-18,哥哥,學習相關,閱讀,2,是,4,,,,
2024-05-18,哥哥,居家整理,掃地,2,是,4,,,,
2024-05-18,哥哥,生活自理,準時起床,1,是,2,和兄弟合作完成,,,
2024-05-18,哥哥,個人清潔,洗澡,1,是,2,需要再提醒一次,,,
2024-05-18,哥哥,學習相關,整理書包,1,是,3,,,,
2024-05-18,哥哥,居家整理,收拾玩具,1,是,3,今天表現穩定,,,
2024-05-18,弟弟,個人清潔,換衣服,2,否,1,,,,
2024-05-19,哥哥,學習相關,練習才藝,1,是,4,,,,
2024-05-19,弟弟,餐飲協助,協助分類回收,1,是,3,,,,
2024-05-19,哥哥,生活自理,準時起床,1,是,2,,,,
2024-05-19,弟弟,其他,情緒管理,1,否,4,和兄弟合作完成,,,
2024-05-19,哥哥,學習相關,整理書包,2,是,3,,,,
2024-05-19,哥哥,學習相關,整理書包,1,是,3,,,,
2024-05-19,哥哥,個人清潔,刷牙洗臉,1,否,2,,,,
2024-05-19,哥哥,個人清潔,刷牙洗臉,2,是,2,,,,
2024-05-20,弟弟,學習相關,完成作業,1,是,5,,,,
2024-05-20,弟弟,餐飲協助,餐前擺碗筷,1,是,2,和兄弟合作完成,,,
2024-05-20,弟弟,生活自理,衣物放洗衣籃,2,是,2,,,,
2024-05-20,哥哥,居家整理,擦桌子,1,否,3,,,,
2024-05-20,哥哥,餐飲協助,擦餐桌,1,是,3,主動完成，值得鼓勵,,,
2024-05-20,哥哥,居家整理,收拾玩具,1,否,3,,,,
2024-05-21,哥哥,居家整理,收拾玩具,1,是,3,,,,
2024-05-21,哥哥,學習相關,閱讀,1,是,4,,,,
2024-05-21,哥哥,學習相關,閱讀,2,否,4,,,,
2024-05-21,哥哥,個人清潔,刷牙洗臉,1,否,2,,,,
2024-05-21,弟弟,生活自理,準備明日用品,1,是,3,,,,
2024-05-21,弟弟,居家整理,整理書桌,1,是,3,和兄弟合作完成,,,
2024-05-22,弟弟,生活自理,準時起床,1,是,2,,,,
2024-05-22,弟弟,學習相關,閱讀,1,是,4,,,,
2024-05-22,哥哥,個人清潔,洗澡,1,否,2,,,,
2024-05-22,哥哥,居家整理,收拾玩具,1,否,3,,,,
2024-05-22,哥哥,居家整理,擦桌子,1,是,3,,,,
2024-05-22,哥哥,學習相關,閱讀,1,是,4,,,,
2024-05-22,哥哥,個人清潔,刷牙洗臉,1,是,2,,,,
2024-05-23,哥哥,生活自理,準備明日用品,1,是,3,,,,
2024-05-23,哥哥,餐飲協助,餐前擺碗筷,1,是,2,和兄弟合作完成,,,
2024-05-23,哥哥,學習相關,整理書包,2,是,3,,,,
2024-05-23,哥哥,居家整理,擦桌子,1,否,3,,,,
2024-05-23,哥哥,餐飲協助,餐後收拾,1,是,3,,,,
2024-05-23,哥哥,個人清潔,換衣服,1,否,1,,,,
2024-05-23,弟弟,個人清潔,洗澡,1,否,2,,,,
2024-05-23,弟弟,個人清潔,刷牙洗臉,2,是,2,,,,
2024-05-24,弟弟,個人清潔,刷牙洗臉,1,是,2,,,,
2024-05-24,弟弟,居家整理,整理房間,2,是,4,,,,
2024-05-24,弟弟,生活自理,衣物放洗衣籃,2,是,2,,,,
2024-05-24,弟弟,個人清潔,刷牙洗臉,1,否,2,,,,
2024-05-24,弟弟,居家整理,擦桌子,1,是,3,,,,
2024-05-24,弟弟,居家整理,掃地,1,是,4,,,,
2024-05-24,哥哥,個人清潔,整理個人物品,1,是,2,和兄弟合作完成,,,
2024-05-24,哥哥,生活自理,準備明日用品,1,是,3,和兄弟合作完成,,,
2024-05-24,哥哥,個人清潔,刷牙洗臉,1,是,2,,,,
2024-05-24,哥哥,個人清潔,洗澡,2,否,2,需要再提醒一次,,,
2024-05-24,哥哥,餐飲協助,擦餐桌,1,是,3,,,,
2024-05-24,哥哥,學習相關,閱讀,1,是,4,,,,
2024-05-25,弟弟,餐飲協助,擦餐桌,1,是,3,,,,
2024-05-25,弟弟,居家整理,收拾玩具,2,是,3,,,,
2024-05-25,弟弟,生活自理,衣物放洗衣籃,1,是,2,,,,
2024-05-25,弟弟,個人清潔,換衣服,1,否,1,今天表現穩定,,,
2024-05-25,哥哥,居家整理,整理書桌,2,是,3,,,,
2024-05-25,哥哥,居家整理,倒垃圾,2,是,3,今天表現穩定,,,
2024-05-25,哥哥,生活自理,衣物放洗衣籃,1,是,2,,,,
2024-05-25,哥哥,生活自理,準備明日用品,2,是,3,需要再提醒一次,,,
2024-05-26,弟弟,個人清潔,整理個人物品,1,是,2,今天表現穩定,,,
2024-05-26,哥哥,餐飲協助,擦餐桌,1,是,3,,,,
2024-05-26,哥哥,個人清潔,換衣服,1,是,1,,,,
2024-05-26,哥哥,學習相關,整理書包,1,否,3,,,,
2024-05-26,哥哥,其他,主動幫忙,1,是,3,,,,
2024-05-26,哥哥,生活自理,鞋子排好,1,是,1,,,,
2024-05-26,哥哥,學習相關,練習才藝,1,是,4,,,,
2024-05-26,弟弟,學習相關,完成作業,1,是,5,,,,
2024-05-26,哥哥,餐飲協助,餐後收拾,1,是,3,和兄弟合作完成,,,
2024-05-26,弟弟,生活自理,衣物放洗衣籃,2,是,2,,,,
2024-05-27,弟弟,居家整理,擦桌子,1,是,3,,,,
2024-05-27,哥哥,居家整理,擦桌子,1,是,3,,,,
2024-05-27,弟弟,生活自理,鞋子排好,2,是,1,,,,
2024-05-27,哥哥,餐飲協助,餐前擺碗筷,2,是,2,,,,
2024-05-27,哥哥,生活自理,鞋子排好,1,是,1,需要再提醒一次,,,
2024-05-27,哥哥,生活自理,準時起床,1,是,2,,,,
2024-05-27,哥哥,居家整理,掃地,1,否,4,,,,
2024-05-27,哥哥,居家整理,收拾玩具,1,是,3,,,,
2024-05-27,哥哥,生活自理,準時起床,2,是,2,,,,
2024-05-28,弟弟,其他,情緒管理,1,否,4,今天表現穩定,,,
2024-05-28,弟弟,居家整理,收拾玩具,2,是,3,今天表現穩定,,,
2024-05-28,弟弟,居家整理,整理書桌,1,否,3,,,,
2024-05-28,弟弟,居家整理,掃地,2,是,4,,,,
2024-05-28,弟弟,個人清潔,換衣服,1,是,1,,,,
2024-05-28,弟弟,個人清潔,洗澡,2,是,2,,,,
2024-05-28,哥哥,餐飲協助,餐後收拾,1,是,3,,,,
2024-05-28,哥哥,餐飲協助,餐後收拾,1,是,3,,,,
2024-05-28,哥哥,個人清潔,刷牙洗臉,1,是,2,,,,
2024-05-28,哥哥,個人清潔,洗澡,2,是,2,,,,
2024-05-28,哥哥,學習相關,完成作業,2,是,5,,,,
2024-05-28,哥哥,學習相關,整理書包,1,否,3,,,,
2024-05-29,哥哥,居家整理,整理書桌,1,是,3,需要再提醒一次,,,
2024-05-29,哥哥,其他,情緒管理,2,是,4,,,,
2024-05-29,哥哥,學習相關,練習才藝,1,是,4,,,,
2024-05-29,弟弟,學習相關,完成作業,1,否,5,,,,
2024-05-29,弟弟,學習相關,整理書包,1,否,3,,,,
2024-05-29,弟弟,居家整理,掃地,1,是,4,,,,
2024-05-29,弟弟,個人清潔,換衣服,1,是,1,需要再提醒一次,,,
2024-05-29,弟弟,個人清潔,整理個人物品,1,是,2,,,,
2024-05-30,弟弟,居家整理,整理房間,1,是,4,,,,
2024-05-30,哥哥,個人清潔,整理個人物品,1,是,2,今天表現穩定,,,
2024-05-30,弟弟,生活自理,準時起床,2,否,2,,,,
2024-05-30,哥哥,個人清潔,刷牙洗臉,1,是,2,,,,
2024-05-30,哥哥,生活自理,鞋子排好,1,是,1,今天表現穩定,,,
2024-05-30,弟弟,居家整理,掃地,1,是,4,,,,
2024-05-31,弟弟,餐飲協助,餐後收拾,1,否,3,,,,
2024-05-31,弟弟,生活自理,準備明日用品,1,否,3,主動完成，值得鼓勵,,,
2024-05-31,弟弟,個人清潔,整理個人物品,2,是,2,主動完成，值得鼓勵,,,
2024-05-31,弟弟,其他,禮貌表現,2,否,2,,,,
2024-05-31,哥哥,餐飲協助,協助分類回收,1,是,3,需要再提醒一次,,,
2024-05-31,哥哥,生活自理,準時起床,1,否,2,,,,
2024-05-31,哥哥,居家整理,收拾玩具,1,否,3,,,,
2024-05-31,哥哥,餐飲協助,協助分類回收,1,是,3,,,,
2024-05-31,弟弟,居家整理,擦桌子,2,是,3,,,,
2026-06-01,哥哥,個人清潔,刷牙洗臉,1,是,5,,需要提醒,線上表單,2026-08-31 21:08:36
2026-06-02,哥哥,個人清潔,刷牙洗臉,1,是,5,,需要提醒,線上表單,2026-08-31 21:10:20
